occ,ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg36,com_cg37
3,31001749,B,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2011,ALMOST ALL
4,31001749,C,,,,
5,31001749,D,,,,
6,31001749,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31001749,A,SCHOOL BLOCK,NEW SCHOOL,2012,ALMOST ALL
8,31001749,B,SCHOOL TEACHER,DEVELOPMENT PROJECT,2012,ALMOST ALL
9,31001749,C,IMPROVED TRANSPORTATION,IMPROVED TRANSPORTATION,2012,ALMOST ALL
10,31001749,D,,,,
1,31002169,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31002169,A,FLOOD,FLOOD,2011,1/4
3,31002169,B,DROUGHT,DROUGHT,2011,ALMOST ALL
4,31002169,C,HUMAN EPINDERMIC  DISEASE,HUMAN EPIDEMIC DISEASE,2012,1/4
5,31002169,D,SHARP CHARGE IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
6,31002169,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31002169,A,DEVELOPMENT PROJECTS,DEVELOPMENT PROJECT,2010,1/4
8,31002169,B,,,,
9,31002169,C,NEW ROAD,NEW ROAD,2012,ALMOST ALL
10,31002169,D,,,,
1,31004312,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31004312,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,31004312,B,CROP DISEASES,CROP DISEASE/PESTS,2011,ALMOST ALL
4,31004312,C,,,,
5,31004312,D,,,,
6,31004312,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31004312,A,KITCHEN FOR THE SCHOOL FEELING,DEVELOPMENT PROJECT,2012,ALMOST ALL
8,31004312,B,CHIGAYO,OTHER GOOD (SPECIFY),2011,ALMOST ALL
9,31004312,C,ADMARC,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,31004312,D,ROAD MAIN TANANCE,IMPROVED TRANSPORTATION,2012,1/4
1,31006556,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31006556,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,31006556,B,SHARP INCREASE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,31006556,C,,,,
5,31006556,D,,,,
6,31006556,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31006556,A,DEVELOPMENT PROJECTS,SHARP CHANGE IN PRICES,2011,ALMOST ALL
8,31006556,B,EMPLOYMENT OPPORTUNITY,NEW EMPLOYMENT OPPORTUNITIES,2012,1/4
9,31006556,C,,,,
10,31006556,D,,,,
1,31007335,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31007335,A,FLOOD,FLOOD,2012,ALMOST ALL
3,31007335,B,PRICE FLUCTUATIONS,SHARP CHANGE IN PRICES,2011,ALMOST ALL
4,31007335,C,,,,
5,31007335,D,,,,
6,31007335,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31007335,A,SCHOOL BLOCKS,NEW SCHOOL,2010,3/4
8,31007335,B,BOREHOLE,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,31007335,C,HALL IN THE VILLAGE,DEVELOPMENT PROJECT,2012,ALMOST ALL
10,31007335,D,PROJECT OF EVANGLICAL CHURCH,OTHER GOOD (SPECIFY),2012,ALMOST ALL
1,31108703,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31108703,A,GROUGHT,DROUGHT,2010,ALMOST ALL
3,31108703,B,FLOODS,DROUGHT,2010,ALMOST ALL
4,31108703,C,WATER SHORTAGE,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,31108703,D,,,,
6,31108703,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31108703,A,"NEW ROD ,STREET RIGHTS",NEW ROAD,2012,ALMOST ALL
8,31108703,B,,,,
9,31108703,C,,,,
10,31108703,D,,,,
1,31201007,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31201007,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,31201007,B,FLOODING OVER LIWAWADZI,FLOOD,2013,1/4
4,31201007,C,,,,
5,31201007,D,,,,
6,31201007,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31201007,A,FLOOD,FLOOD,2013,ALMOST ALL
8,31201007,B,,,,
9,31201007,C,,,,
10,31201007,D,,,,
1,31201104,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31201104,A,DROUGHT,DROUGHT,201,ALMOST ALL
3,31201104,B,,,,
4,31201104,C,,,,
5,31201104,D,,,,
6,31201104,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31201104,A,NONE,,,
8,31201104,B,,,,
9,31201104,C,,,,
10,31201104,D,,,,
1,31201197,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31201197,A,FLOOD,FLOOD,2013,3/4
3,31201197,B,,,,
4,31201197,C,,,,
5,31201197,D,,,,
6,31201197,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31201197,A,,,,
8,31201197,B,,,,
9,31201197,C,,,,
10,31201197,D,,,,
1,31201516,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31201516,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,31201516,B,FLOOD,FLOOD,2012,ALMOST ALL
4,31201516,C,,,,
5,31201516,D,,,,
6,31201516,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31201516,A,BOREHOLE,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,31201516,B,SCHOOL BLOCK,DEVELOPMENT PROJECT,2010,ALMOST ALL
9,31201516,C,,,,
10,31201516,D,,,,
1,31204618,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31204618,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,31204618,B,,,,
4,31204618,C,,,,
5,31204618,D,,,,
6,31204618,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31204618,A,PRIMARY SCHOOL BLOCK,NEW SCHOOL,2012,ALMOST ALL
8,31204618,B,,,,
9,31204618,C,,,,
10,31204618,D,,,,
1,31432523,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31432523,A,SHOP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,31432523,B,OFF GRID ELECTRICITY,OFF-GRID ELECTRICITY,2010,ALMOST ALL
4,31432523,C,LOSS OF KEY SOCIAL SERVICES,LOSS OF KEY SOCIAL SERVICE (S),2011,ALMOST ALL
5,31432523,D,,,,
6,31432523,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31432523,A,NEW HEALTH FACILITY,NEW HEALTH FACILITY,2010,3/4
8,31432523,B,CLEAN DRINKING WATER,OTHER GOOD (SPECIFY),2012,3/4
9,31432523,C,,,,
10,31432523,D,,,,
1,31432676,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31432676,A,SHORP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2011,3/4
3,31432676,B,POWER OUTAGES,POWER OUTAGE(S),2012,3/4
4,31432676,C,,,,
5,31432676,D,MASAF PROJECTS,OTHER GOOD (SPECIFY),2011,1/4
6,31432676,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31432676,A,VILLAGE BANKS,OTHER GOOD (SPECIFY),2012,1/4
8,31432676,B,,,,
9,31432676,C,,,,
10,31432676,D,,,,
1,31435120,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31435120,A,ERATIC RAINFALL,OTHER BAD (SPECIFY),2012,3/4
3,31435120,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,3/4
4,31435120,C,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2012,1/4
5,31435120,D,,,,
6,31435120,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31435120,A,AVAILABILITY OF TRANSPORT,OTHER GOOD (SPECIFY),2013,3/4
8,31435120,B,,,,
9,31435120,C,,,,
10,31435120,D,,,,
1,31435753,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31435753,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,31435753,B,CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,31435753,C,POWER OUTAGES,POWER OUTAGE(S),2013,ALMOST ALL
5,31435753,D,,,,
6,31435753,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31435753,A,EASY TRANSPORTS,IMPROVED TRANSPORTATION,2013,ALMOST ALL
8,31435753,B,,,,
9,31435753,C,,,,
10,31435753,D,,,,
1,31436695,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31436695,A,SHOP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST NONE
3,31436695,B,POWER OUTAGES,POWER OUTAGE(S),2012,ALMOST NONE
4,31436695,C,,,,
5,31436695,D,,,,
6,31436695,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31436695,A,ON GRID ELECTRICITY,ON-GRID ELECTRICITY,2013,ALMOST ALL
8,31436695,B,,,,
9,31436695,C,,,,
10,31436695,D,,,,
1,31438690,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31438690,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,31438690,B,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,31438690,C,LACK OF SOCIAL SERVICES,LOSS OF KEY SOCIAL SERVICE (S),2012,3/4
5,31438690,D,,,,
6,31438690,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31438690,A,ON GRID ELECTRICITY,ON-GRID ELECTRICITY,2010,ALMOST ALL
8,31438690,B,INTRODUCTION OF COUPON,OTHER GOOD (SPECIFY),2011,1/4
9,31438690,C,MASAF PROJECT,OTHER GOOD (SPECIFY),2013,3/4
10,31438690,D,INTRODUCTION OF WATER PIPES,OTHER GOOD (SPECIFY),2011,3/4
1,31439102,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31439102,A,SHOP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
3,31439102,B,POWER ONTAGES,POWER OUTAGE(S),2013,3/4
4,31439102,C,FAMINE,OTHER BAD (SPECIFY),2012,1/2
5,31439102,D,POOR RESIDENCE,OTHER BAD (SPECIFY),,
6,31439102,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31439102,A,NEW GEATH FACILITY,NEW HEALTH FACILITY,2012,3/4
8,31439102,B,NEAR SCHOOLS,NEW SCHOOL,2012,3/4
9,31439102,C,,,,
10,31439102,D,,,,
1,31441389,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31441389,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,3/4
3,31441389,B,POWER OUTAGE,POWER OUTAGE(S),2011,3/4
4,31441389,C,LACK OF FARM INPUTS,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,31441389,D,,,,
6,31441389,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31441389,A,IMPROVED TRANSPORTATION SERVICES,IMPROVED TRANSPORTATION,2010,3/4
8,31441389,B,ACCES TO CLEAN WATER,OTHER GOOD (SPECIFY),2010,3/4
9,31441389,C,,,,
10,31441389,D,,,,
1,31442394,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31442394,A,SHARP CHANGE IN PRICES,HUMAN EPIDEMIC DISEASE,2012,3/4
3,31442394,B,ERRATIC RAINFALL,OTHER BAD (SPECIFY),2012,3/4
4,31442394,C,,,,
5,31442394,D,,,,
6,31442394,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31442394,A,NEW HEALTH FACILITY,NEW HEALTH FACILITY,2011,3/4
8,31442394,B,ON GRID ELECTRICITY,ON-GRID ELECTRICITY,2011,3/4
9,31442394,C,,,,
10,31442394,D,,,,
1,31443108,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31443108,A,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2012,3/4
3,31443108,B,DROUGHT,FLOOD,2011,3/4
4,31443108,C,,,,
5,31443108,D,,,,
6,31443108,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31443108,A,BUILDINGS RENTING OUT TO STUDENTS,OTHER GOOD (SPECIFY),2011,1/4
8,31443108,B,,,,
9,31443108,C,,,,
10,31443108,D,,,,
1,31443270,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31443270,A,SHOP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,31443270,B,DROUGHT,DROUGHT,2012,ALMOST ALL
4,31443270,C,,,,
5,31443270,D,,,,
6,31443270,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31443270,A,COUPON INTRODUCTION,OTHER GOOD (SPECIFY),2012,ALMOST NONE
8,31443270,B,NEARBY SOCIAL SERVICES MARKET,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,31443270,C,,,,
10,31443270,D,,,,
1,31532674,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31532674,A,SHARP CHANGE IN PRICE,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,31532674,B,DROUGHT,DROUGHT,2011,3/4
4,31532674,C,LUCK OF EMPLOYMENT,OTHER BAD (SPECIFY),2010,3/4
5,31532674,D,THUGS,OTHER BAD (SPECIFY),2011,ALMOST ALL
6,31532674,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31532674,A,RELIGIOUS (COMING OF RELIGIOUS ),OTHER GOOD (SPECIFY),2010,3/4
8,31532674,B,PRIVATE SCHOOL,NEW SCHOOL,2011,1/4
9,31532674,C,WATER PROTECT,DEVELOPMENT PROJECT,2010,3/4
10,31532674,D,ELECTRICITY,ON-GRID ELECTRICITY,2010,3/4
1,31533095,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31533095,A,SHORTAGE OF MEDINES IN HOSPITALS,OTHER BAD (SPECIFY),2012,ALMOST ALL
3,31533095,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,31533095,C,FALL OF DWELLING HOUSES,OTHER BAD (SPECIFY),2012,3/4
5,31533095,D,SHORTAGE OF FOREX,OTHER BAD (SPECIFY),2011,3/4
6,31533095,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31533095,A,AVAILLABILITY OF FOOD,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,31533095,B,SECURITY UP TODATE,OTHER GOOD (SPECIFY),2009,3/4
9,31533095,C,AVAILABILITY OF MEDINES,OTHER GOOD (SPECIFY),2010,ALMOST ALL
10,31533095,D,TRANSPORTION OF GOOD N CHEAP,OTHER GOOD (SPECIFY),2010,ALMOST ALL
1,31536118,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31536118,A,SHARP CHANGE IN PRICE,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,31536118,B,DEVALUATION OF CURRECY,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,31536118,C,HUNGER,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,31536118,D,POVERTY,OTHER BAD (SPECIFY),2009,3/4
6,31536118,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31536118,A,SCHOOL FEEDING PROGRAM,OTHER GOOD (SPECIFY),2009,3/4
8,31536118,B,PIPED WATER,OTHER GOOD (SPECIFY),2013,3/4
9,31536118,C,FOOD FOR WORK PROGRAME,OTHER GOOD (SPECIFY),2012,1/4
10,31536118,D,FERTILIZER SUBSTIY,OTHER GOOD (SPECIFY),2009,1/4
1,31536751,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31536751,A,SHARD CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,31536751,B,HEAVY RAIN WHICH DESTROYED HOUSES,OTHER BAD (SPECIFY),2012,1/2
4,31536751,C,POVERT STRICKEN COMMUNITY (SHORTAGE,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,31536751,D,SHORTAGE OR LACK OF EMPLOYMENT,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,31536751,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31536751,A,NEW HEALTH FACILITY,NEW HEALTH FACILITY,2010,ALMOST ALL
8,31536751,B,ON GRID ELECTRICITY,ON-GRID ELECTRICITY,2010,ALMOST ALL
9,31536751,C,,,,
10,31536751,D,,,,
1,31539670,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31539670,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,31539670,B,MASSIVE JOB LAY OFF,MASSIVE JOB LAY-OFFS,2012,1/2
4,31539670,C,POWER OUTAGES,POWER OUTAGE(S),2012,ALMOST ALL
5,31539670,D,HUMAN EPEDEMIC DISEASE CHOLERA,HUMAN EPIDEMIC DISEASE,2012,1/4
6,31539670,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31539670,A,NEW SCHOOL,NEW SCHOOL,2011,ALMOST ALL
8,31539670,B,WATER PROJECT,OTHER GOOD (SPECIFY),2012,1/4
9,31539670,C,,,,
10,31539670,D,,,,
1,31540419,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31540419,A,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,31540419,B,DROUGHT,DROUGHT,2013,ALMOST ALL
4,31540419,C,SHORTAGE OF WATER,OTHER BAD (SPECIFY),2011,ALMOST ALL
5,31540419,D,HIV/AIDS,HUMAN EPIDEMIC DISEASE,2010,ALMOST ALL
6,31540419,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31540419,A,MASAF PROGRAME,OTHER GOOD (SPECIFY),2010,1/4
8,31540419,B,SCHOOL FEEDING PROGRAM,OTHER GOOD (SPECIFY),2010,ALMOST ALL
9,31540419,C,CHILOMONI CATHERIC COLLAGE,OTHER GOOD (SPECIFY),2010,1/4
10,31540419,D,SOWING MACHINE PROJECT,DEVELOPMENT PROJECT,2010,1/4
1,31545384,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31545384,A,SHORTAGE OF SCHOOL EQUIPMENT,OTHER BAD (SPECIFY),2011,ALMOST ALL
3,31545384,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,31545384,C,POWER OUTAGES,POWER OUTAGE(S),2010,3/4
5,31545384,D,DROUGHT,DROUGHT,2012,ALMOST ALL
6,31545384,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31545384,A,SCHOOL FEEDING PROGRAM,OTHER GOOD (SPECIFY),2010,3/4
8,31545384,B,MATERIAL ASSISTANCE TO SCHOOL CHILD,OTHER GOOD (SPECIFY),2013,3/4
9,31545384,C,MASAF PROGRAMME,DEVELOPMENT PROJECT,2010,1/4
10,31545384,D,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2010,1/4
1,31546760,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31546760,A,CHOLERA OUTBREAK,HUMAN EPIDEMIC DISEASE,2012,1/4
3,31546760,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,31546760,C,SHORTAGE OF MEDICINES IN HOSPITAL,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,31546760,D,WATER SUPPLY INTERPTION,OTHER BAD (SPECIFY),2008,ALMOST ALL
6,31546760,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31546760,A,FERTILIZER SUBSTIZE PROGRAMME,OTHER GOOD (SPECIFY),2012,ALMOST NONE
8,31546760,B,SCHOOL FEEDING PROGRAMME,OTHER GOOD (SPECIFY),2010,1/4
9,31546760,C,WADER VSS ASSOSIATION PROGRAMME(WUW,OTHER GOOD (SPECIFY),2011,1/4
10,31546760,D,,,,
1,31550254,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31550254,A,POWER OUTAGES,POWER OUTAGE(S),2010,ALMOST ALL
3,31550254,B,WATER INTERRUPTION,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,31550254,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,31550254,D,POOR SECURITY(AFTER 8PM ON WARDS),OTHER BAD (SPECIFY),2012,ALMOST ALL
6,31550254,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31550254,A,NEIGHHOOD SECURITY(COMMUNITY POLICE,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,31550254,B,NEW EMPLOYMENT OPPORTUNITIES(HH COR,NEW EMPLOYMENT OPPORTUNITIES,2010,1/4
9,31550254,C,CONSTRUCTION OF NEW HOUSES,OTHER GOOD (SPECIFY),2010,1/4
10,31550254,D,EMPROVEMENT IN HEALTH SERVICES AT L,OTHER GOOD (SPECIFY),2010,ALMOST ALL
1,31552686,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31552686,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,31552686,B,POWER OUTAGE,POWER OUTAGE(S),2010,ALMOST ALL
4,31552686,C,LUCKY OF SECURITY IN ZIGWAGWA MARKE,OTHER BAD (SPECIFY),2009,ALMOST ALL
5,31552686,D,NO TOILET&WATER SUPPLY AT THE MARKE,OTHER BAD (SPECIFY),2009,ALMOST ALL
6,31552686,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31552686,A,SHELTER FOR SLAUTARING GOATS@ MARKE,OTHER GOOD (SPECIFY),2009,ALMOST ALL
8,31552686,B,SCHOOL FEEDING PROGRAME,OTHER GOOD (SPECIFY),2009,1/2
9,31552686,C,AVAILABILITY OF MINIBUSES,OTHER GOOD (SPECIFY),2009,ALMOST ALL
10,31552686,D,EMPROVED OF ROADS/MARK,OTHER GOOD (SPECIFY),2010,ALMOST ALL
1,31554613,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31554613,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
3,31554613,B,DROUGHT,DROUGHT,2012,ALMOST ALL
4,31554613,C,POWER OUTAGE,POWER OUTAGE(S),2010,1/4
5,31554613,D,WATER SHORTAGE,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,31554613,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31554613,A,CASH TRANSFERS BY NGO,OTHER GOOD (SPECIFY),2012,1/4
8,31554613,B,IMPROTED TRANSPORT SERVICE,IMPROVED TRANSPORTATION,2010,ALMOST ALL
9,31554613,C,FEED THE CHICKEN PROGRAMME,OTHER GOOD (SPECIFY),2012,1/4
10,31554613,D,,,,
1,31555614,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31555614,A,CHOLERA,HUMAN EPIDEMIC DISEASE,2010,1/2
3,31555614,B,DROUGHT,DROUGHT,2011,ALMOST ALL
4,31555614,C,MPHEPO YA NKUNTHO,OTHER BAD (SPECIFY),2012,1/4
5,31555614,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,31555614,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31555614,A,HEALTH ADVICES FROM H.S.A'S,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,31555614,B,SCHOOL FEEDING PROGRAM,OTHER GOOD (SPECIFY),2010,3/4
9,31555614,C,NEW WATER PROJECT,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,31555614,D,FOOD FOR WORK PROGRAM,OTHER GOOD (SPECIFY),2013,1/2
