occ,y2_hhid,qx_type,interview_status,hh_i01,hh_i02,hh_i03
8,0026-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0026-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0027-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0027-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0027-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0027-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0027-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0027-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0027-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0027-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0027-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0028-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0028-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0028-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0028-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0028-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,15
6,0028-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0028-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0028-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0028-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0029-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0029-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0029-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0029-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0029-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0029-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0029-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0029-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0029-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0030-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0030-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0030-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0030-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0030-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,0030-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0030-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0030-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0030-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0031-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0031-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0031-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0031-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0031-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0031-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0031-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0031-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0031-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0032-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0032-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0032-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0032-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0032-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,30
6,0032-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0032-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0032-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0032-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0033-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0033-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0033-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0033-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0033-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0033-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0033-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0033-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0033-001,PANEL A,Panel A - 2 Visits,YES,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",350
1,0034-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0034-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0034-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0034-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0034-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0034-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0034-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0034-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0034-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0035-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0035-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0035-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0035-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0035-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0035-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0035-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0035-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0035-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0036-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0036-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0036-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0036-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0036-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0036-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0036-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0036-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0036-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0037-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0037-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0037-001,PANEL A,Panel A - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,50
4,0037-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0037-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0037-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0037-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0037-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0037-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0038-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0038-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0038-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0038-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0038-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,60
6,0038-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0038-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0038-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0038-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0039-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0039-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0039-001,PANEL A,Panel A - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,200
4,0039-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0039-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0039-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0039-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0039-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0039-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0040-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0040-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0040-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0040-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0040-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0040-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0040-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,150
8,0040-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0040-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0041-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0041-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0041-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0041-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0041-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0041-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0041-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0041-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0041-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0042-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0042-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0042-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0042-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0042-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0042-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0042-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0042-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0042-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0043-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0043-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0043-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0043-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0043-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0043-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0043-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,700
8,0043-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0043-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0044-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0044-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0044-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0044-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0044-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0044-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0044-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0044-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0044-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0045-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0045-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0045-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0045-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0045-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,60
6,0045-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0045-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0045-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0045-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0046-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0046-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0046-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0046-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0046-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0046-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0046-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0046-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0046-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0047-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0047-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0047-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0047-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0047-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0047-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0047-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0047-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0047-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0048-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0048-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0048-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0048-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0048-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0048-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0048-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0048-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0048-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0049-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0049-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0049-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0049-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0049-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0049-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0049-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0049-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0049-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0050-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0050-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0050-001,PANEL B,Panel B - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,120
4,0050-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0050-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0050-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0050-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0050-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0050-001,PANEL B,Panel B - 2 Visits,YES,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",1600
1,0051-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0051-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0051-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0051-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0051-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0051-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0051-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0051-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0051-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0052-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0052-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0052-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0052-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0052-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0052-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0052-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0052-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0052-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0053-002,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0053-002,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0053-002,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0053-002,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0053-002,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0053-002,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0053-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0053-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0053-002,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0054-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0054-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0054-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0054-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0054-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0054-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0054-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0054-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0054-001,PANEL B,Panel B - 2 Visits,YES,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",3000
1,0054-003,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,400
2,0054-003,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0054-003,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0054-003,PANEL B,Panel B - 2 Visits,YES,CANDLES,300
5,0054-003,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0054-003,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0054-003,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,450
8,0054-003,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,600
9,0054-003,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0055-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0055-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0055-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0055-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0055-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0055-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0055-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0055-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0055-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0056-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0056-001,PANEL B,Panel B - 2 Visits,YES,PARAFFIN OR KEROSENE,140
3,0056-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0056-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0056-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0056-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0056-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0056-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0056-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0057-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0057-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0057-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0057-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0057-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0057-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0057-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0057-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0057-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0058-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0058-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0058-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0058-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0058-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,0058-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
