occ,y2_hhid,qx_type,interview_status,ag_l0a,ag_l0b,ag_l00b,ag_l0c,ag_l0d,ag_l01a,ag_l01b,ag_l02,ag_l03,ag_l04,ag_l15,ag_l16a,ag_l16b,ag_l17,ag_l18,ag_l19,ag_l20,ag_l21,ag_l22,ag_l23,ag_l24,ag_l25,ag_l26a,ag_l26b,ag_l27,ag_l28,ag_l29,ag_l30,ag_l31,ag_l32,ag_l33,ag_l34,ag_l35,ag_l36a,ag_l36b,ag_l37,ag_l38a,ag_l38b,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l43,ag_l44a,ag_l44b
2,0086-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0086-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0086-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0086-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0086-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0086-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0086-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0086-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0087-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0088-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0089-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0090-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0091-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0092-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,5,BUCKET,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,5,BUCKET
2,0092-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0092-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0092-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0092-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0092-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0092-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0092-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0092-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0093-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0094-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,100,KILOGRAM,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,100,KILOGRAM
2,0094-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0094-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0094-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0094-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0094-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0094-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0094-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0094-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0095-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0096-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0097-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0098-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0099-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0100-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0100-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0101-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0102-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0103-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0104-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0105-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0106-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0107-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0108-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0109-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0110-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0110-006,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0110-007,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0111-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0112-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0113-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0115-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0116-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0117-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0118-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0119-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0119-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0120-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0121-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0123-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0124-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0125-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0126-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0127-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0128-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0128-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0128-004,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0129-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0129-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0130-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0131-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0132-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0133-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0134-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0135-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0136-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0137-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0138-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0139-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0139-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0139-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0139-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0139-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0139-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0139-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0139-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0139-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0140-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0141-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0142-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0142-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0143-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0144-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0145-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0146-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0147-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0148-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0149-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0149-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0149-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0149-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0149-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0149-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0149-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0149-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0149-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0152-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0153-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0154-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0155-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0156-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0157-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0158-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,1,BUCKET,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,1,BUCKET
2,0158-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,1,KILOGRAM,"YES, THE FIGURES MATCHED",NO,YES,N11,1,KILOGRAM,OWN BICYCLE OR OXCART,0,350,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
3,0158-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0158-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0158-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0158-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0158-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0158-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0158-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0159-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0160-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0161-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0161-006,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0162-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0163-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0164-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0165-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0166-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0167-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0168-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0168-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0168-006,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0169-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0170-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0171-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0171-003,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0172-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0174-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0176-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0177-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,3,WHEELBARROW,"YES, THE FIGURES MATCHED",,YES,N04,3,WHEELBARROW,ON FOOT,0,1600,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,NO,,
2,0177-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0177-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0177-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0177-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0177-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0177-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0177-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
